comuna,barrio,habitantes,mujer,varon,superficie,densidad_pobacional
Comuna 1,CONSTITUCION,44107,23441,20666,2.1,20973.41
Comuna 1,MONSERRAT,39914,20974,18940,2.2,18159.14
Comuna 1,PUERTO MADERO,6726,3115,3611,5.03,1338.4
Comuna 1,RETIRO,65413,34218,31195,4.53,14450.24
Comuna 1,SAN NICOLAS,29273,15227,14046,2.29,12784.95
Comuna 1,SAN TELMO,20453,10814,9639,1.23,16601.43
Comuna 2,RECOLETA,157932,89890,68042,6.29,25100.49
Comuna 3,BALVANERA,138926,75653,63273,4.34,31991.01
Comuna 3,SAN CRISTOBAL,48611,26283,22328,2.04,23785.65
Comuna 4,BARRACAS,89452,46715,42737,7.96,11240.81
Comuna 4,BOCA,45113,23808,21305,5.02,8981.3
Comuna 4,NUEVA POMPEYA,42695,22463,20232,4.97,8588.16
Comuna 4,PARQUE PATRICIOS,40985,22093,18892,3.74,10947.73
Comuna 5,ALMAGRO,131699,72828,58871,4.05,32515.09
Comuna 5,BOEDO,47306,25371,21935,2.61,18126.47
Comuna 6,CABALLITO,176076,97206,78870,6.85,25700.65
Comuna 7,FLORES,164310,87984,76326,8.59,19120.95
Comuna 7,PARQUE CHACABUCO,56281,30126,26155,3.83,14686.72
Comuna 8,VILLA LUGANO,126374,66003,60371,9.29,13602.2
Comuna 8,VILLA RIACHUELO,14084,7477,6607,4.27,3297.35
Comuna 8,VILLA SOLDATI,46779,24212,22567,8.73,5356.74
Comuna 9,LINIERS,44132,23737,20395,4.38,10086.89
Comuna 9,MATADEROS,64436,34012,30424,7.39,8713.77
Comuna 9,PARQUE AVELLANEDA,53229,27841,25388,4.73,11243.22
Comuna 10,FLORESTA,37575,20250,17325,2.32,16192.3
Comuna 10,MONTE CASTRO,33623,18130,15493,2.63,12796.67
Comuna 10,VELEZ SARSFIELD,35081,18917,16164,2.4,14612.46
Comuna 10,VERSALLES,13822,7367,6455,1.4,9843.03
Comuna 10,VILLA LURO,32502,17308,15194,2.57,12662.94
Comuna 10,VILLA REAL,13419,7078,6341,1.32,10165.89
Comuna 11,VILLA SANTA RITA,33325,17688,15637,2.15,15473.36
Comuna 11,VILLA DEL PARQUE,55273,30213,25060,3.4,16256.67
Comuna 11,VILLA DEVOTO,66521,34762,31759,6.38,10434.65
Comuna 11,VILLA GRAL. MITRE,34713,18700,16013,2.16,16053.94
Comuna 12,COGHLAN,18604,9997,8607,1.28,14534.69
Comuna 12,SAAVEDRA,50295,26893,23402,5.53,9088.61
Comuna 12,VILLA PUEYRREDON,39654,21315,18339,3.3,12022.52
Comuna 12,VILLA URQUIZA,91563,49384,42179,5.45,16803.39
Comuna 13,BELGRANO,126831,70358,56473,7.94,15977.78
Comuna 13,COLEGIALES,52551,29037,23514,2.29,22950.22
Comuna 13,NUÑEZ,51949,28104,23845,4.35,11943.13
Comuna 14,PALERMO,225970,125389,100581,15.78,14324.16
Comuna 15,AGRONOMIA,13912,7404,6508,2.12,6555.33
Comuna 15,CHACARITA,27761,14678,13083,3.12,8902.58
Comuna 15,PARQUE CHAS,17489,9241,8248,1.39,12626.81
Comuna 15,PATERNAL,19717,10390,9327,2.23,8843.16
Comuna 15,VILLA CRESPO,81959,44757,37202,3.61,22682.49
Comuna 15,VILLA ORTUZAR,21736,11619,10117,1.85,11724.62
