Fecha,tMax,tMin,tProm,Humedad,vVel,vDir,pMax,pMin,pProm
1/1/2020,26.3,19.3,22.8,77,28,Sudeste,1009.9,1015.3,1012.6
2/1/2020,28.5,18.2,23.35,76,23,Sur,1014.8,1018.7,1016.75
3/1/2020,29.2,20.5,24.85,72,18,Sudoeste,1015.4,1021,1018.2
4/1/2020,29.5,21.6,25.55,60,35,Norte,1007.9,1015.8,1011.85
5/1/2020,31,20.1,25.55,62,26,Calma,998.8,1007.7,1003.25
6/1/2020,28.8,18.3,23.55,54,66,Sudoeste,1000.1,1006.7,1003.4
7/1/2020,31.1,16.6,23.85,42,39,Oeste,1004.8,1008.8,1006.8
8/1/2020,32,21.6,26.8,47,39,Norte,1001.7,1008.3,1005
9/1/2020,30.3,22.1,26.2,57,41,Sur,1001.7,1009.4,1005.55
10/1/2020,32.5,20.2,26.35,60,24,Calma,1007.5,1010.3,1008.9
11/1/2020,31.8,18.8,25.3,60,27,Calma,1008.4,1012.5,1010.45
12/1/2020,31.1,20.7,25.9,56,24,Sur,1011.1,1016.7,1013.9
13/01/2020,29.7,20.7,25.2,58,23,Sudoeste,1010.2,1016.9,1013.55
14/01/2020,28.2,20.9,24.55,78,35,Norte,1002.3,1010.9,1006.6
15/01/2020,27.8,18.9,23.35,74,49,Calma,998,1013.3,1005.65
16/01/2020,25.8,12.5,19.15,43,31,Calma,1013.5,1019.8,1016.65
17/01/2020,27.2,14.5,20.85,53,24,Calma,1017.1,1021.8,1019.45
18/01/2020,29.5,18.5,24,57,32,Norte,1012.6,1017.7,1015.15
19/01/2020,33.3,21.3,27.3,67,21,Calma,1008,1013.9,1010.95
20/01/2020,34.8,24,29.4,69,19,Calma,1006,1009.8,1007.9
21/01/2020,28.3,21.8,25.05,86,44,Calma,1006.1,1010.9,1008.5
22/01/2020,31.2,22.7,26.95,78,18,Sudoeste,1010.4,1014.6,1012.5
23/01/2020,31,22.6,26.8,73,25,Norte,1010.7,1015.5,1013.1
24/01/2020,32,23.5,27.75,63,38,Norte,1005.9,1012.4,1009.15
25/01/2020,36.4,23.6,30,57,24,Sudoeste,1003.8,1007.1,1005.45
26/01/2020,33.1,21.5,27.3,54,42,Sur,1004.3,1010.2,1007.25
27/01/2020,26.6,14.2,20.4,55,42,Sudeste,1010.4,1016.6,1013.5
28/01/2020,29.1,17.1,23.1,61,35,Norte,1004.2,1014.7,1009.45
29/01/2020,27.7,16.6,22.15,70,37,Sudeste,1004.2,1014.5,1009.35
30/01/2020,26.5,11.9,19.2,55,31,Sur,1012.4,1015.2,1013.8
31/01/2020,28.8,14.5,21.65,51,22,Calma,1011.6,1014,1012.8
1/2/2020,30.4,17.8,24.1,60,27,Norte,1008.5,1013.9,1011.2
2/2/2020,34.5,21.1,27.8,66,22,Calma,1009.3,1013.7,1011.5
3/2/2020,35.1,23.8,29.45,67,28,Norte,1010.2,1014.9,1012.55
4/2/2020,34.7,23.5,29.1,66,34,Norte,1006.2,1012,1009.1
5/2/2020,31.3,22.5,26.9,75,32,Norte,1006.1,1010.1,1008.1
6/2/2020,35.6,21.7,28.65,75,50,Calma,1007.8,1011.2,1009.5
7/2/2020,31.5,22.3,26.9,83,43,Calma,1010.2,1014.3,1012.25
8/2/2020,27.7,19.1,23.4,73,27,Sudeste,1012.9,1017.4,1015.15
9/2/2020,24.7,15.3,20,63,31,Sur,1017,1021.4,1019.2
10/2/2020,26.1,13.4,19.75,65,21,Calma,1019.3,1022,1020.65
11/2/2020,27.7,16.9,22.3,67,25,Calma,1017.6,1021.4,1019.5
12/2/2020,28.8,20.1,24.45,70,31,Norte,1011.3,1018.1,1014.7
13/02/2020,31.4,21.3,26.35,70,39,Norte,1006.8,1012.9,1009.85
14/02/2020,30.2,18.4,24.3,66,36,Sur,1006,1009.5,1007.75
15/02/2020,31.7,17.7,24.7,65,26,Calma,1004.8,1009.1,1006.95
16/02/2020,33.6,23.3,28.45,73,57,Calma,1002.5,1007.5,1005
17/02/2020,30.5,20.9,25.7,82,53,Norte,999.1,1006.7,1002.9
18/02/2020,26.4,17.5,21.95,71,42,Sur,1002.2,1009.9,1006.05
19/02/2020,29.4,16.8,23.1,63,35,Calma,1006.7,1010.5,1008.6
20/02/2020,23.3,12.1,17.7,51,49,Sur,1010.6,1019.9,1015.25
21/02/2020,22.1,12.1,17.1,57,44,Sur,1019.9,1023.6,1021.75
22/02/2020,23.2,11.2,17.2,67,21,Sur,1020.2,1025,1022.6
23/02/2020,26.8,14.9,20.85,72,26,Calma,1011.6,1020.3,1015.95
24/02/2020,29,19.4,24.2,66,32,Norte,1003.1,1011.6,1007.35
25/02/2020,27.2,17.3,22.25,57,34,Sur,1005,1011.9,1008.45
26/02/2020,26.5,15.6,21.05,67,26,Calma,1011.8,1014.3,1013.05
27/02/2020,29.5,18.9,24.2,55,26,Calma,1010.9,1014.1,1012.5
28/02/2020,31.5,18.6,25.05,68,19,Calma,1011.5,1016.9,1014.2
29/02/2020,31.1,20.4,25.75,77,17,Calma,1015.9,1019.3,1017.6
1/3/2020,33.6,21.1,27.35,67,21,Calma,1016.5,1019.5,1018
2/3/2020,33.2,23.9,28.55,64,26,Norte,1016.2,1019.9,1018.05
3/3/2020,31.8,22.5,27.15,70,30,Norte,1013.4,1017,1015.2
4/3/2020,32.2,21,26.6,70,20,Calma,1014.4,1016.7,1015.55
5/3/2020,29.6,21.6,25.6,70,24,Norte,1015.1,1018.9,1017
6/3/2020,30.1,21,25.55,75,24,Calma,1011.2,1016.7,1013.95
7/3/2020,31.8,21.5,26.65,71,33,Norte,1006.6,1011.6,1009.1
8/3/2020,31.2,23.2,27.2,66,23,Norte,1006.9,1011.4,1009.15
9/3/2020,28.5,17.9,23.2,73,22,Sur,1011,1019.1,1015.05
10/3/2020,25.9,17.6,21.75,80,20,Sudoeste,1013.9,1018.9,1016.4
11/3/2020,22.2,19.3,20.75,88,33,Calma,1006.7,1014.8,1010.75
